header, nMess, nObs, Kbytes, hash, center, table, edition, category 
JSMT31 KWNO, 6, 111540, 4449, 0xd8d421a8, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
JSML31 KWNO, 15, 110646, 7375, 0xa6792328, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
JSMT35 KWNO, 9, 110630, 4213, 0xb95d5ad8, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
JSMT34 KWNO, 6, 102180, 4031, 0xd8b45098, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
JSMF13 KWNO, 9, 99450, 6011, 0x75d83918, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
JSMF14 KWNO, 18, 91350, 5236, 0x5621d028, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
JSMT33 KWNO, 3, 88725, 3475, 0xd9930808, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
JSMT33 KWNO, 3, 88725, 3568, 0xd9b2d918, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
JSMT32 KWNO, 6, 86190, 3359, 0xb97d2be8, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
IUAA01 CWAO, 6700, 77359, 3827, 0xd4bdd3ef, 53.0 (Montreal (RSMC)), 0.11.1, 3, Single level upper-air data (other than satellite) (4.255.0) 
JSML32 KWNO, 12, 69876, 4546, 0xa6398108, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
IUAD01 EGRR, 6707, 58036, 3088, 0xd75fe947, 74.0 (UK Meteorological Office Bracknell (RSMC)), 0.2.1, 2, Single level upper-air data (other than satellite) (4.255.0) 
JSML34 KWNO, 7, 45279, 2973, 0xa6595218, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
ISXA01 KWNO, 4599, 42794, 37348, 0xa14502f3, 7.3 (NCEP /  Central Operations), 0.12.0, 3, Surface data (satellite) (12.103.0) 
JSMT37 KWNO, 5, 42575, 1703, 0xb91db8b8, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
JSML37 KWNO, 12, 41634, 2647, 0xa5f9dee8, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
JSMT61 KWNO, 12, 34728, 1090, 0xaf070298, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
JSML31 KWNO, 4, 30888, 2129, 0xa698f438, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
JSMT43 KWBC, 11, 29146, 1677, 0xef1c1b38, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
JSMT44 KWBC, 13, 25422, 1416, 0xeefc4a28, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
JSML13 KWNO, 2, 23922, 1567, 0xc5efe9f8, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
IUAC01 RJTD, 109, 23394, 695, 0x9c3b5ee8, 34.0 (Tokyo (RSMC)  Japan Meteorological Agency), 0.13.0, 4, Single level upper-air data (other than satellite) (4.0.0) 
JSMT71 KWNH, 30, 19200, 302, 0x82a2d8a8, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
ISAI01 SBBR, 422, 18476, 2676, 0xe2e89318, 255.0 (Unknown center=255), 0.11.0, 3, Surface data - land (0.0.0) 
JSMT60 KWNO, 22, 18356, 561, 0x64677968, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
JSMT63 KWNO, 4, 17974, 577, 0xaf26d3a8, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
ISZD59 EUSR, 191, 14707, 318, 0x71dc6215, 210.1 (Frascati (ESA/ESRIN)), 0.7.0, 3, Surface data (satellite) / Storm Prediction Center (12.9.0) 
JSMT73 KWNO, 2, 14440, 461, 0xaf46a4b8, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
JSMT36 KWNO, 1, 12870, 450, 0xb93d89c8, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
JSMF10 KWNO, 41, 12300, 542, 0xe5a75308, 7.0 (US National Weather Service (NCEP)), 0.2.0, 2, Surface data - land (0.0.0) 
ISZA59 EUSR, 150, 11550, 245, 0x71dc6d5d, 210.3 (Frascati (ESA/ESRIN)), 0.7.0, 3, Surface data (satellite) / Storm Prediction Center (12.9.0) 
