"No","Title_E","OctetNo","Contents_E","Note_E","Status"
786.00,"Product definition template 4.20 - radar product","39-41","Range bin spacing (metres)",,"Operational"
787.00,"Product definition template 4.20 - radar product","42-43","Radial angular spacing (tenths of degree true)",,"Operational"
788.00,"Product definition template 4.30 - satellite product","10","Parameter category","(see Code table 4.1)#GRIB2_6_0_1_codeflag.doc#G2_CF41","Deprecated"
789.00,"Product definition template 4.30 - satellite product","11","Parameter number","(see Code table 4.2)#GRIB2_6_0_1_codeflag.doc#G2_CF42","Deprecated"
790.00,"Product definition template 4.30 - satellite product","12","Type of generating process","(see Code table 4.3)#GRIB2_6_0_1_codeflag.doc#G2_CF43","Deprecated"
791.00,"Product definition template 4.30 - satellite product","13","Observation generating process identifier (defined by originating centre)",,"Deprecated"
792.00,"Product definition template 4.30 - satellite product","14","Number of contributing spectral bands (NB)",,"Deprecated"
793.00,"Product definition template 4.30 - satellite product",,"Repeat the following 10 octets for each contributing band (nb = 1, NB)",,"Deprecated"
794.00,"Product definition template 4.30 - satellite product","(15+10(nb-1))-(16+10(nb-1))","Satellite series of band nb (code table defined by originating/generating centre)",,"Deprecated"
795.00,"Product definition template 4.30 - satellite product","(17+10(nb-1))-(18+10(nb-1))","Satellite numbers of band nb (code table defined by originating/generating centre)",,"Deprecated"
796.00,"Product definition template 4.30 - satellite product","(19+10(nb-1))","Instrument types of band nb (code table defined by originating/generating centre)",,"Deprecated"
797.00,"Product definition template 4.30 - satellite product","(20+10(nb-1))","Scale factor of central wave number of band nb",,"Deprecated"
798.00,"Product definition template 4.30 - satellite product","(21+10(nb-1))-(24+10(nb-1))","Scaled value of central wave number of band nb (units: m-1)",,"Deprecated"
799.00,"Product definition template 4.31 - satellite product","10","Parameter category","(see Code table 4.1)#GRIB2_6_0_1_codeflag.doc#G2_CF41","Operational"
800.00,"Product definition template 4.31 - satellite product","11","Parameter number","(see Code table 4.2)#GRIB2_6_0_1_codeflag.doc#G2_CF42","Operational"
801.00,"Product definition template 4.31 - satellite product","12","Type of generating process","(see Code table 4.3)#GRIB2_6_0_1_codeflag.doc#G2_CF43","Operational"
802.00,"Product definition template 4.31 - satellite product","13","Observation generating process identifier (defined by originating centres)",,"Operational"
803.00,"Product definition template 4.31 - satellite product","14","Number of contributing spectral bands (NB)",,"Operational"
804.00,"Product definition template 4.31 - satellite product",,"Repeat the following 11 octets for each contributing band (nb = 1, NB)",,"Operational"
805.00,"Product definition template 4.31 - satellite product","(15+11(nb-1))-(16+11(nb-1))","Satellite series of band nb (code table defined by originating/generating centre)",,"Operational"
806.00,"Product definition template 4.31 - satellite product","(17+11(nb-1))-(18+11(nb-1))","Satellite numbers of band nb (code table defined by originating/generating centre)",,"Operational"
807.00,"Product definition template 4.31 - satellite product","(19+11(nb-1))-(20+11(nb-1))","Instrument types of band nb (code table defined by originating/generating centre)",,"Operational"
808.00,"Product definition template 4.31 - satellite product","(21+11(nb-1))","Scale factor of central wave number of band nb",,"Operational"
809.00,"Product definition template 4.31 - satellite product","(22+11(nb-1))-(25+11(nb-1))","Scaled value of central wave number of band nb (units: m-1)",,"Operational"
810.00,"Product definition template 4.32 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for simulated (synthetic) satellite data","10","Parameter category","(see Code table 4.1)#GRIB2_6_0_1_codeflag.doc#G2_CF41","Validation"
811.00,"Product definition template 4.32 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for simulated (synthetic) satellite data","11","Parameter number","(see Code table 4.2)#GRIB2_6_0_1_codeflag.doc#G2_CF42","Validation"
812.00,"Product definition template 4.32 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for simulated (synthetic) satellite data","12","Type of generating process","(see Code table 4.3)#GRIB2_6_0_1_codeflag.doc#G2_CF43","Validation"
813.00,"Product definition template 4.32 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for simulated (synthetic) satellite data","13","Background generating process identifier (defined by originating centres)",,"Validation"
814.00,"Product definition template 4.32 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for simulated (synthetic) satellite data","14","Analysis or forecast generating process identified",,"Validation"
815.00,"Product definition template 4.32 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for simulated (synthetic) satellite data","15-16","Hours of observational data cutoff after reference time","(see Note)#GRIB2_6_0_1_temp.doc#G2_Pdt432n","Validation"
816.00,"Product definition template 4.32 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for simulated (synthetic) satellite data","17","Minutes of observational data cutoff after reference time","(see Note)#GRIB2_6_0_1_temp.doc#G2_Pdt432n","Validation"
817.00,"Product definition template 4.32 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for simulated (synthetic) satellite data","18","Indicator of unit of time range","(see Code table 4.4)#GRIB2_6_0_1_codeflag.doc#G2_CF44","Validation"
818.00,"Product definition template 4.32 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for simulated (synthetic) satellite data","19-22","Forecast time in units defined by octet 18",,"Validation"
819.00,"Product definition template 4.32 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for simulated (synthetic) satellite data","23","Number of contributing spectral bands (NB)",,"Validation"
820.00,"Product definition template 4.32 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for simulated (synthetic) satellite data",,"Repeat the following 11 octets for each contributing band (nb = 1, NB)",,"Validation"
821.00,"Product definition template 4.32 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for simulated (synthetic) satellite data","(24+11(nb-1))-(25+11(nb-1))","Satellite series of band nb (Code table defined by originating/generating centre)",,"Validation"
822.00,"Product definition template 4.32 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for simulated (synthetic) satellite data","(26+11(nb-1))-(27+11(nb-1))","Satellite number of band nb (Code table defined by originating/generating centre)",,"Validation"
823.00,"Product definition template 4.32 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for simulated (synthetic) satellite data","(28+11(nb-1))-(29+11(nb-1))","Instrument types of band nb (Code table defined by originating/generating centre)",,"Validation"
824.00,"Product definition template 4.32 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for simulated (synthetic) satellite data","(30 +11(nb-1))","Scale factor of central wave number of band nb",,"Validation"
825.00,"Product definition template 4.32 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for simulated (synthetic) satellite data","(31+11(nb-1))-(34+11(nb-1))","Scaled value of central wave number of band nb (units: m-1)",,"Validation"
826.00,"Product definition template 4.40 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","10","Parameter category","(see Code table 4.1)#GRIB2_6_0_1_codeflag.doc#G2_CF41","Operational"
827.00,"Product definition template 4.40 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","11","Parameter number","(see Code table 4.2)#GRIB2_6_0_1_codeflag.doc#G2_CF42","Operational"
828.00,"Product definition template 4.40 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","12-13","Atmospheric chemical constituent type","(see Code table 4.230)#GRIB2_6_0_1_codeflag.doc#G2_CF4230","Operational"
829.00,"Product definition template 4.40 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","14","Type of generating process","(see Code table 4.3)#GRIB2_6_0_1_codeflag.doc#G2_CF43","Operational"
830.00,"Product definition template 4.40 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","15","Background generating process identifier (defined by originating centre)",,"Operational"
831.00,"Product definition template 4.40 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","16","Analysis or forecast generating process identifier (defined by originating centre)",,"Operational"
832.00,"Product definition template 4.40 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","17-18","Hours of observational data cutoff after reference time","(see Note)#GRIB2_6_0_1_temp.doc#G2_Pdt440n","Operational"
833.00,"Product definition template 4.40 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","19","Minutes of observational data cutoff after reference time",,"Operational"
834.00,"Product definition template 4.40 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","20","Indicator of unit of time range","(see Code table 4.4)#GRIB2_6_0_1_codeflag.doc#G2_CF44","Operational"
835.00,"Product definition template 4.40 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","21-24","Forecast time in units defined by octet 20",,"Operational"
836.00,"Product definition template 4.40 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","25","Type of first fixed surface","(see Code table 4.5)#GRIB2_6_0_1_codeflag.doc#G2_CF45","Operational"
837.00,"Product definition template 4.40 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","26","Scale factor of first fixed surface",,"Operational"
838.00,"Product definition template 4.40 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","27-30","Scaled value of first fixed surface",,"Operational"
839.00,"Product definition template 4.40 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","31","Type of second fixed surface","(see Code table 4.5)#GRIB2_6_0_1_codeflag.doc#G2_CF45","Operational"
840.00,"Product definition template 4.40 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","32","Scale factor of second fixed surface",,"Operational"
841.00,"Product definition template 4.40 - analysis or forecast at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","33-36","Scaled value of second fixed surface",,"Operational"
842.00,"Product definition template 4.41 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","10","Parameter category","(see Code table 4.1)#GRIB2_6_0_1_codeflag.doc#G2_CF41","Operational"
843.00,"Product definition template 4.41 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","11","Parameter number","(see Code table 4.2)#GRIB2_6_0_1_codeflag.doc#G2_CF42","Operational"
844.00,"Product definition template 4.41 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","12-13","Atmospheric chemical constituent type","(see Code table 4.230)#GRIB2_6_0_1_codeflag.doc#G2_CF4230","Operational"
845.00,"Product definition template 4.41 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","14","Type of generating process","(see Code table 4.3)#GRIB2_6_0_1_codeflag.doc#G2_CF43","Operational"
846.00,"Product definition template 4.41 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","15","Background generating process identifier (defined by originating centre)",,"Operational"
847.00,"Product definition template 4.41 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","16","Forecast generating process identifier (defined by originating centre)",,"Operational"
848.00,"Product definition template 4.41 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","17-18","Hours after reference time of data cutoff","(see Note)#GRIB2_6_0_1_temp.doc#G2_Pdt441n","Operational"
849.00,"Product definition template 4.41 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","19","Minutes after reference time of data cutoff",,"Operational"
850.00,"Product definition template 4.41 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","20","Indicator of unit of time range","(see Code table 4.4)#GRIB2_6_0_1_codeflag.doc#G2_CF44","Operational"
851.00,"Product definition template 4.41 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","21-24","Forecast time in units defined by octet 20",,"Operational"
852.00,"Product definition template 4.41 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","25","Type of first fixed surface","(see Code table 4.5)#GRIB2_6_0_1_codeflag.doc#G2_CF45","Operational"
853.00,"Product definition template 4.41 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","26","Scale factor of first fixed surface",,"Operational"
854.00,"Product definition template 4.41 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","27-30","Scaled value of first fixed surface",,"Operational"
855.00,"Product definition template 4.41 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","31","Type of second fixed surface","(see Code table 4.5)#GRIB2_6_0_1_codeflag.doc#G2_CF45","Operational"
856.00,"Product definition template 4.41 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","32","Scale factor of second fixed surface",,"Operational"
857.00,"Product definition template 4.41 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","33-36","Scaled value of second fixed surface",,"Operational"
858.00,"Product definition template 4.41 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","37","Type of ensemble forecast","(see Code table 4.6)#GRIB2_6_0_1_codeflag.doc#G2_CF46","Operational"
859.00,"Product definition template 4.41 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","38","Perturbation number",,"Operational"
860.00,"Product definition template 4.41 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer at a point in time for atmospheric chemical constituents","39","Number of forecasts in ensemble",,"Operational"
861.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","10","Parameter category","(see Code table 4.1)#GRIB2_6_0_1_codeflag.doc#G2_CF41","Operational"
862.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","11","Parameter number","(see Code table 4.2)#GRIB2_6_0_1_codeflag.doc#G2_CF42","Operational"
863.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","12-13","Atmospheric chemical constituent type","(see Code table 4.230)#GRIB2_6_0_1_codeflag.doc#G2_CF4230","Operational"
864.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","14","Type of generating process","(see Code table 4.3)#GRIB2_6_0_1_codeflag.doc#G2_CF43","Operational"
865.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","15","Background generating process identifier (defined by originating centre)",,"Operational"
866.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","16","Analysis or forecast generating process identifier (defined by originating centre)",,"Operational"
867.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","17-18","Hours after reference time of data cutoff","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Pdt442n","Operational"
868.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","19","Minutes after reference time of data cutoff",,"Operational"
869.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","20","Indicator of unit of time range","(see Code table 4.4)#GRIB2_6_0_1_codeflag.doc#G2_CF44","Operational"
870.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","21-24","Forecast time in units defined by octet 20","(see Note 2)#GRIB2_6_0_1_temp.doc#G2_Pdt442n","Operational"
871.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","25","Type of first fixed surface","(see Code table 4.5)#GRIB2_6_0_1_codeflag.doc#G2_CF45","Operational"
872.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","26","Scale factor of first fixed surface",,"Operational"
873.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","27-30","Scaled value of first fixed surface",,"Operational"
874.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","31","Type of second fixed surface","(see Code table 4.5)#GRIB2_6_0_1_codeflag.doc#G2_CF45","Operational"
875.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","32","Scale factor of second fixed surface",,"Operational"
876.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","33-36","Scaled value of second fixed surface",,"Operational"
877.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","37-38","Year",,"Operational"
878.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","39","Month",,"Operational"
879.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","40","Day",,"Operational"
880.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","41","Hour",,"Operational"
881.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","42","Minute",,"Operational"
882.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","43","Second",,"Operational"
883.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","44","n - number of time range specifications describing the time intervals used to calculate the statistically-processed field",,"Operational"
884.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","45-48","Total number of data values missing in statistical process",,"Operational"
885.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents",,"49-60   Specification of the outermost (or only) time range over which statistical processing is done",,"Operational"
886.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","49","Statistical process used to calculate the processed field from the field at each time increment during the time range","(see Code table 4.10)#GRIB2_6_0_1_codeflag.doc#G2_CF410","Operational"
887.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","50","Type of time increment between successive fields used in the statistical processing","(see Code table 4.11)#GRIB2_6_0_1_codeflag.doc#G2_CF411","Operational"
888.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","51","Indicator of unit of time for time range over which statistical processing is done","(see Code table 4.4)#GRIB2_6_0_1_codeflag.doc#G2_CF44","Operational"
889.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","52-55","Length of the time range over which statistical processing is done, in units defined by the previous octet",,"Operational"
890.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","56","Indicator of unit of time for the increment between the successive fields used","(see Code table 4.4)#GRIB2_6_0_1_codeflag.doc#G2_CF44","Operational"
891.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","57-60","Time increment between successive fields, in units defined by the previous octet","(see Notes 3 and 4)#GRIB2_6_0_1_temp.doc#G2_Pdt442n","Operational"
892.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents",,"61-nn   These octets are included only if n>1, where nn = 48 + 12*n",,"Operational"
893.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","61-72","As octets 49 to 60, next innermost step of processing",,"Operational"
894.00,"Product definition template 4.42 - average, accumulation, and/or extreme values or other statistically-processed values at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","73-nn","Additional time range specifications, included in accordance with the value of n. Contents as octets 49 to 60, repeated as necessary.",,"Operational"
895.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","10","Parameter category","(see Code table 4.1)#GRIB2_6_0_1_codeflag.doc#G2_CF41","Operational"
896.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","11","Parameter number","(see Code table 4.2)#GRIB2_6_0_1_codeflag.doc#G2_CF42","Operational"
897.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","12-13","Atmospheric chemical constituent type","(see Code table 4.230)#GRIB2_6_0_1_codeflag.doc#G2_CF4230","Operational"
898.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","14","Type of generating process","(see Code table 4.3)#GRIB2_6_0_1_codeflag.doc#G2_CF43","Operational"
899.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","15","Background generating process identifier (defined by originating centre)",,"Operational"
900.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","16","Forecast generating process identifier (defined by originating centre)",,"Operational"
901.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","17-18","Hours after reference time of data cutoff","(see Note 1)#GRIB2_6_0_1_temp.doc#G2_Pdt443n","Operational"
902.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","19","Minutes after reference time of data cutoff",,"Operational"
903.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","20","Indicator of unit of time range","(see Code table 4.4)#GRIB2_6_0_1_codeflag.doc#G2_CF44","Operational"
904.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","21-24","Forecast time in units defined by octet 20","(see Note 2)#GRIB2_6_0_1_temp.doc#G2_Pdt443n","Operational"
905.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","25","Type of first fixed surface","(see Code table 4.5)#GRIB2_6_0_1_codeflag.doc#G2_CF45","Operational"
906.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","26","Scale factor of first fixed surface",,"Operational"
907.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","27-30","Scaled value of first fixed surface",,"Operational"
908.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","31","Type of second fixed surface","(see Code table 4.5)#GRIB2_6_0_1_codeflag.doc#G2_CF45","Operational"
909.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","32","Scale factor of second fixed surface",,"Operational"
910.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","33-36","Scaled value of second fixed surface",,"Operational"
911.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","37","Type of ensemble forecast","(see Code table 4.6)#GRIB2_6_0_1_codeflag.doc#G2_CF46","Operational"
912.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","38","Perturbation number",,"Operational"
913.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","39","Number of forecasts in ensemble",,"Operational"
914.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","40-41","Year of end of overall time interval",,"Operational"
915.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","42","Month of end of overall time interval",,"Operational"
916.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","43","Day of end of overall time interval",,"Operational"
917.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","44","Hour of end of overall time interval",,"Operational"
918.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","45","Minute of end of overall time interval",,"Operational"
919.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","46","Second of end of overall time interval",,"Operational"
920.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","47","n - number of time range specifications describing the time intervals used to calculate the statistically-processed field",,"Operational"
921.00,"Product definition template 4.43 - individual ensemble forecast, control and perturbed, at a horizontal level or in a horizontal layer in a continuous or non-continuous time interval for atmospheric chemical constituents","48-51","Total number of data values missing in statistical process",,"Operational"
