"No","Code","Agency_E","Type_E","InstrumentShortName_E","InstrumentLongName_E","Status"
263.00,"840","ROSCOSMOS","Spectro-radiometer","SROSMO","Spectroradiometer for ocean monitoring","Operational"
264.00,"850","ROSCOSMOS","Spectrometer","BUFS-2","Backscatter spectrometer/2","Operational"
265.00,"851","ROSCOSMOS","Spectrometer","BUFS-4","Backscatter spectrometer/4","Operational"
266.00,"855","ROSCOSMOS","Spectrometer","ISTOK-1","Infrared spectrometer","Operational"
267.00,"856","ROSCOSMOS","Spectrometer","SFM-2","Spectrometer to measure direct solar radiation","Operational"
268.00,"857","ROSCOSMOS","Spectrometer","DOPI",,"Operational"
269.00,"858","ROSCOSMOS","Spectrometer","KGI-4",,"Operational"
270.00,"859","ROSCOSMOS","Spectrometer","Ozon-M",,"Operational"
271.00,"860","ROSCOSMOS","Spectrometer","RMK-2",,"Operational"
272.00,"900","NOAA","Radiometer","MAXIE","Magnetospheric atmospheric X-ray imaging experiment","Operational"
273.00,"901","NOAA","Radiometer","OLS","Operational linescan system","Operational"
274.00,"905","NOAA","Radiometer","SSM/I","Mission sensor microwave imager","Operational"
275.00,"906","NOAA","Radiometer","SSM/T-1","Mission sensor microwave temperature sounder","Operational"
276.00,"907","NOAA","Radiometer","SSM/T-2","Mission sensor microwave water vapour sounder","Operational"
277.00,"908","NOAA","Radiometer","SSMIS","Special sensor microwave imager sounder","Operational"
278.00,"910","NOAA","Radiometer","SXI","Solar X-ray imager","Operational"
279.00,"930","NOAA","Spectrometer","EHIC","Energetic heavy ion composition experiment","Operational"
280.00,"931","NOAA","Spectrometer","X-ray astronomy payload",,"Operational"
281.00,"932","NRSCC","Imaging multi-spectral radiometer (vis/IR)","IVISSR (FY-2)","Improved multispectral visible and Infrared scan radiometer (5 channels)","Operational"
282.00,"933","NRSCC","Atmospheric temperature and humidity sounder","IRAS","Infrared atmospheric sounder","Operational"
283.00,"934","NRSCC","Atmospheric temperature and humidity sounder","MWAS","Microwave atmospheric sounder","Operational"
284.00,"935","NRSCC","Atmospheric temperature and humidity sounder","IMWAS","Improved Microwave atmospheric sounder","Operational"
285.00,"936","NRSCC","Atmospheric temperature and humidity sounder","MWHS","Microwave humidity sounder","Operational"
286.00,"937","NRSCC","Imaging multi-spectral radiometer (vis/IR)","MVIRS","Moderate resolution visible and infrared imaging spectroradiometer","Operational"
287.00,"938","NRSCC","Imaging multi-spectral radiometer (passive microwave)","MWRI","Microwave radiation imager","Operational"
288.00,"940","ROSCOSMOS","Atmospheric temperature and humidity sounder","MTVZA-OK","Scanning microwave radiometer","Operational"
289.00,"941","CNES","Atmospheric temperature and humidity sounder","SAPHIR",,"Operational"
290.00,"944","NOAA","Radar altimeter","ALT","Altimeter","Operational"
291.00,"945","NOAA","Earth radiation budget radiometer","TSIS","Total solar irradiance sensor","Operational"
292.00,"946","NOAA","Imaging multi-spectral radiometer (passive microwave)","CMIS","Conical-scanning microwave imager/sounder","Operational"
293.00,"947","NOAA","Total and profile ozone","OMPS","Ozone mapping and profiler suite","Operational"
294.00,"948","NOAA","Space environment atmospheric temperature and humidity sounder","GPSOS","Global positioning system occultation sensor","Operational"
295.00,"949","NOAA","Magnetic field, Auroal imagery Scintillation boundary","SESS","Space environmental sensor suite","Operational"
296.00,"950","NRSCC","Imaging multi-spectral radiometer (vis/IR)","VIRR","Multispectral visible and infrared scan radiometer (10 channels)","Operational"
297.00,"951","NRSCC","Total and profile ozone","TOM","Total ozone mapper","Operational"
298.00,"952","NRSCC","Total and profile ozone","OP","Ozone profiler","Operational"
299.00,"953-999","Reserved",,,,"Operational"
300.00,"1000-2046","Reserved for long-term future use",,,,"Operational"
301.00,"2047","Missing value",,,,"Operational"
